Legend: waktu, epoch 1970, epoch 1980, latitude, longitude, altitude, gx, gy, gz, ax, ay, az 
(2023-05-26_16-35-23.128, 1685093723.12786, 1369128923.12786, 0, 0, 0, -0.004243694245815277, 0.0003310535103082657, -0.00798673927783966, 0.818079948425293, 0.025626763701438904, -9.81110954284668) 
(2023-05-26_16-35-24.577, 1685093724.572734, 1369128924.572734, -7.3132195, 112.789849, 27.5, -0.012806632556021214, 0.0057948287576437, -0.003764263354241848, 0.8181799650192261, -0.06997949630022049, -9.82553768157959) 
(2023-05-26_16-35-24.688, 1685093724.684272, 1369128924.684272, -7.3132195, 112.789849, 27.5, -0.004787910729646683, 0.002730865031480789, 0.007869469933211803, 0.8132975101470947, 0.05431016534566879, -9.811086654663086) 
(2023-05-26_16-35-24.797, 1685093724.795428, 1369128924.795428, -7.3132195, 112.789849, 27.5, 0.0013468097895383835, 0.0015411525964736938, 0.006065164692699909, 0.8371621370315552, 0.00169314444065094, -9.839884757995605) 
(2023-05-26_16-35-24.891, 1685093724.888625, 1369128924.888625, -7.3132195, 112.789849, 27.5, -0.005439324304461479, -0.0009375419467687607, 0.002997106872498989, 0.7419884204864502, 0.05434637516736984, -9.85411548614502) 
(2023-05-26_16-35-24.999, 1685093724.998767, 1369128924.998767, -7.3132195, 112.789849, 27.5, 0.0013293866068124771, 0.0003239735960960388, 0.003017890267074108, 0.7514755725860596, 0.011354312300682068, -9.796674728393555) 
(2023-05-26_16-35-25.096, 1685093725.094296, 1369128925.094296, -7.3132195, 112.789849, 27.5, -0.0036298278719186783, -0.000281263142824173, -0.0073722731322050095, 0.8608438968658447, -0.003049023449420929, -9.744118690490723) 
(2023-05-26_16-35-25.191, 1685093725.188802, 1369128925.188802, -7.3132195, 112.789849, 27.5, 0.0001163780689239502, 0.0009194165468215942, 0.006672886200249195, 0.7657222747802734, -0.022088028490543365, -9.748814582824707) 
(2023-05-26_16-35-25.300, 1685093725.298323, 1369128925.298323, -7.3132195, 112.789849, 27.5, -0.003642357885837555, -0.0027352459728717804, -0.007364380173385143, 0.8324191570281982, -0.02697606384754181, -9.830318450927734) 
(2023-05-26_16-35-25.392, 1685093725.391865, 1369128925.391865, -7.3132195, 112.789849, 27.5, -0.010370389558374882, 0.0008974578231573105, -0.0031292405910789967, 0.8324154615402222, -0.04130690544843674, -9.815958023071289) 
(2023-05-26_16-35-25.484, 1685093725.48466, 1369128925.48466, -7.3132195, 112.789849, 27.5, -0.00845497939735651, 0.011320597492158413, 0.001725912094116211, 0.794385552406311, -0.060398899018764496, -9.825505256652832) 
(2023-05-26_16-35-25.565, 1685093725.564029, 1369128925.564029, -7.3132195, 112.789849, 27.5, -0.010301085188984871, 0.010080263949930668, 0.00294360239058733, 0.8085739612579346, -0.08903209120035172, -9.729743957519531) 
(2023-05-26_16-35-25.663, 1685093725.659175, 1369128925.659175, -7.3132195, 112.789849, 27.5, -0.0047851260751485825, 0.010739675723016262, -0.0025303345173597336, 0.7277829647064209, -0.08900510519742966, -9.801499366760254) 
(2023-05-26_16-35-25.757, 1685093725.753409, 1369128925.753409, -7.3132195, 112.789849, 27.5, -0.006031263619661331, 0.003969242796301842, 0.002368827350437641, 0.7562482357025146, -0.012546293437480927, -9.79190444946289) 
(2023-05-26_16-35-25.847, 1685093725.846974, 1369128925.846974, -7.3132195, 112.789849, 27.5, -0.001683644950389862, 0.008266056887805462, 0.00847319420427084, 0.7278220653533936, -0.08424865454435349, -9.839814186096191) 
